# Renewables.ninja Wind power (Point API) - 55.788, 12.538 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Paris, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Paris"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""55.78759154008641"""," ""lon"": ""12.537795731694663"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""500000"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""false""}}"
time,local_time,electricity,MW,,,,,,,,,,
01/01/2019 00.00,01/01/2019 01.00,481803.95,481.80395,481.80395,,,,,,,,,
01/01/2019 01.00,01/01/2019 02.00,487420.338,487.420338,"481.80395, 487.420338",,,,,,,,,
01/01/2019 02.00,01/01/2019 03.00,492061.103,492.061103,"481.80395, 487.420338, 492.061103",,,,,,,,,
01/01/2019 03.00,01/01/2019 04.00,494908.008,494.908008,"481.80395, 487.420338, 492.061103, 494.908008",,,,,,,,,
01/01/2019 04.00,01/01/2019 05.00,495666.315,495.666315,"481.80395, 487.420338, 492.061103, 494.908008, 495.666315",,,,,,,,,
01/01/2019 05.00,01/01/2019 06.00,495506.967,495.506967,"481.80395, 487.420338, 492.061103, 494.908008, 495.666315, 495.506967",,,,,,,,,
01/01/2019 06.00,01/01/2019 07.00,494794.79,494.79479,"481.80395, 487.420338, 492.061103, 494.908008, 495.666315, 495.506967, 494.79479",,,,,,,,,
01/01/2019 07.00,01/01/2019 08.00,492533.486,492.533486,"481.80395, 487.420338, 492.061103, 494.908008, 495.666315, 495.506967, 494.79479, 492.533486",,,,,,,,,
01/01/2019 08.00,01/01/2019 09.00,487929.685,487.929685,"481.80395, 487.420338, 492.061103, 494.908008, 495.666315, 495.506967, 494.79479, 492.533486, 487.929685",,,,,,,,,
01/01/2019 09.00,01/01/2019 10.00,479740.791,479.740791,"481.80395, 487.420338, 492.061103, 494.908008, 495.666315, 495.506967, 494.79479, 492.533486, 487.929685, 479.740791",,,,,,,,,
01/01/2019 10.00,01/01/2019 11.00,463984.194,463.984194,"481.80395, 487.420338, 492.061103, 494.908008, 495.666315, 495.506967, 494.79479, 492.533486, 487.929685, 479.740791, 463.984194",,,,,,,,,
01/01/2019 11.00,01/01/2019 12.00,450534.857,450.534857,"481.80395, 487.420338, 492.061103, 494.908008, 495.666315, 495.506967, 494.79479, 492.533486, 487.929685, 479.740791, 463.984194, 450.534857",,,,,,,,,
01/01/2019 12.00,01/01/2019 13.00,453098.696,453.098696,"481.80395, 487.420338, 492.061103, 494.908008, 495.666315, 495.506967, 494.79479, 492.533486, 487.929685, 479.740791, 463.984194, 450.534857, 453.098696",,,,,,,,,
01/01/2019 13.00,01/01/2019 14.00,468198.749,468.198749,"481.80395, 487.420338, 492.061103, 494.908008, 495.666315, 495.506967, 494.79479, 492.533486, 487.929685, 479.740791, 463.984194, 450.534857, 453.098696, 468.198749",,,,,,,,,
